Multiplier,0,,Dimensions,15,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,48585.6141535745,8.0048,5/1/2019 8:04:50 AM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 8:04:50 AM,48585.61,413861.29,323782.28,2.34,0.47,0.56,0.50,0.00,0.00,100.00,NaN,413861.29,322979.37,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 8:04:50 AM,48585.61,48585.61,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,48585.61,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 8:04:50 AM,48585.61,48585.61,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,48585.61,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 8:04:50 AM,48585.61,48585.61,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,48585.61,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 8:04:50 AM,48585.61,48585.61,0.00,2.56,0.50,0.00,0.00,0.00,0.00,100.00,NaN,48585.61,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 8:04:50 AM,48585.61,48585.61,0.00,2.50,0.50,0.00,0.00,0.00,0.00,100.00,NaN,48585.61,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 8:04:50 AM,48585.61,48585.61,0.00,2.12,0.32,0.00,0.00,0.00,0.00,100.00,NaN,48585.61,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 8:04:50 AM,48585.61,48585.61,0.00,2.08,0.27,0.00,0.00,0.00,0.00,100.00,NaN,48585.61,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 8:04:50 AM,48585.61,48585.61,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,48585.61,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 8:04:50 AM,48585.61,48585.61,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,48585.61,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 8:04:50 AM,48585.61,48585.61,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,48585.61,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 8:04:50 AM,48585.61,48585.61,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,48585.61,NaN,0.00,0.00,0.00,0.00
